Country,Indicator_x,Unit_Measure(T),Pesticide_Type,Year,Tonnes,Indicator_y,Unit_Measure(kg/ha),Kg_per_ha
Angola,Pesticides Agricultural Use,Tonnes,Herbicides,1994,65.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Angola,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1994,1.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Angola,Pesticides Agricultural Use,Tonnes,Pesticides (total),1994,88.0,Pesticides Use per area of cropland,Kilogram per hectare,0.029999999999999995
Botswana,Pesticides Agricultural Use,Tonnes,Insecticides,1994,156.0,Pesticides Use per area of cropland,Kilogram per hectare,0.53
Botswana,Pesticides Agricultural Use,Tonnes,Herbicides,1994,36.0,Pesticides Use per area of cropland,Kilogram per hectare,0.53
Botswana,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1994,12.0,Pesticides Use per area of cropland,Kilogram per hectare,0.53
Botswana,Pesticides Agricultural Use,Tonnes,Pesticides (total),1994,204.0,Pesticides Use per area of cropland,Kilogram per hectare,0.53
Lesotho,Pesticides Agricultural Use,Tonnes,Insecticides,1994,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Lesotho,Pesticides Agricultural Use,Tonnes,Herbicides,1994,3.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Lesotho,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1994,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Lesotho,Pesticides Agricultural Use,Tonnes,Pesticides (total),1994,3.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Mozambique,Pesticides Agricultural Use,Tonnes,Insecticides,1994,27.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Mozambique,Pesticides Agricultural Use,Tonnes,Herbicides,1994,3.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Mozambique,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1994,22.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Mozambique,Pesticides Agricultural Use,Tonnes,Pesticides (total),1994,52.0,Pesticides Use per area of cropland,Kilogram per hectare,0.029999999999999995
Malawi,Pesticides Agricultural Use,Tonnes,Insecticides,1994,82.0,Pesticides Use per area of cropland,Kilogram per hectare,0.08
Malawi,Pesticides Agricultural Use,Tonnes,Herbicides,1994,51.0,Pesticides Use per area of cropland,Kilogram per hectare,0.08
Malawi,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1994,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.08
Malawi,Pesticides Agricultural Use,Tonnes,Pesticides (total),1994,133.0,Pesticides Use per area of cropland,Kilogram per hectare,0.08
Namibia,Pesticides Agricultural Use,Tonnes,Insecticides,1994,91.0,Pesticides Use per area of cropland,Kilogram per hectare,0.76
Namibia,Pesticides Agricultural Use,Tonnes,Herbicides,1994,175.0,Pesticides Use per area of cropland,Kilogram per hectare,0.76
Namibia,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1994,187.0,Pesticides Use per area of cropland,Kilogram per hectare,0.76
